Experiment,Layers,Neurons per Layer,Activation,Optimizer,Learning Rate,Batch Size,Epochs,Validation Split,Test Loss,Test MAE,Test MAPE
model_warstwy_1_iteracja_1,1,39,relu,adam,0.001,32,100,0.1,2165.71337890625,36.531707763671875,44.94520568847656
model_warstwy_1_iteracja_2,1,39,relu,adam,0.001,32,100,0.1,2093.13134765625,35.648895263671875,44.512054443359375
model_warstwy_1_iteracja_3,1,39,relu,adam,0.001,32,100,0.1,2102.18310546875,36.32743835449219,45.396915435791016
model_warstwy_1_iteracja_4,1,39,relu,adam,0.001,32,100,0.1,2103.834228515625,35.945335388183594,43.40000534057617
model_warstwy_1_iteracja_5,1,39,relu,adam,0.001,32,100,0.1,2034.5709228515625,35.727203369140625,42.31499099731445
model_warstwy_2_iteracja_1,2,39,relu,adam,0.001,32,100,0.1,1465.4713134765625,29.10947036743164,39.86802291870117
model_warstwy_2_iteracja_2,2,39,relu,adam,0.001,32,100,0.1,1253.1988525390625,27.352062225341797,36.666744232177734
model_warstwy_2_iteracja_3,2,39,relu,adam,0.001,32,100,0.1,1436.66845703125,28.597726821899414,40.9504280090332
model_warstwy_2_iteracja_4,2,39,relu,adam,0.001,32,100,0.1,1511.54296875,28.873701095581055,42.28680419921875
model_warstwy_2_iteracja_5,2,39,relu,adam,0.001,32,100,0.1,1412.012451171875,28.539230346679688,39.4990234375
model_warstwy_3_iteracja_1,3,39,relu,adam,0.001,32,100,0.1,822.8206176757812,21.950620651245117,21.074195861816406
model_warstwy_3_iteracja_2,3,39,relu,adam,0.001,32,100,0.1,772.4628295898438,21.548561096191406,20.818571090698242
model_warstwy_3_iteracja_3,3,39,relu,adam,0.001,32,100,0.1,771.494384765625,21.46940803527832,20.354045867919922
model_warstwy_3_iteracja_4,3,39,relu,adam,0.001,32,100,0.1,787.7516479492188,21.68907356262207,21.10354995727539
model_warstwy_3_iteracja_5,3,39,relu,adam,0.001,32,100,0.1,777.953857421875,21.543235778808594,20.884597778320312
model_warstwy_4_iteracja_1,4,39,relu,adam,0.001,32,100,0.1,755.535888671875,21.135286331176758,21.898937225341797
model_warstwy_4_iteracja_2,4,39,relu,adam,0.001,32,100,0.1,666.4225463867188,20.084503173828125,19.356828689575195
model_warstwy_4_iteracja_3,4,39,relu,adam,0.001,32,100,0.1,756.7000732421875,21.025840759277344,19.352523803710938
model_warstwy_4_iteracja_4,4,39,relu,adam,0.001,32,100,0.1,666.740966796875,19.88762092590332,18.42317771911621
model_warstwy_4_iteracja_5,4,39,relu,adam,0.001,32,100,0.1,665.353515625,19.869171142578125,18.29479217529297
model_warstwy_10_iteracja_1,10,39,relu,adam,0.001,32,100,0.1,769.0288696289062,21.013113021850586,19.252864837646484
model_warstwy_10_iteracja_2,10,39,relu,adam,0.001,32,100,0.1,586.6104125976562,18.428335189819336,16.1971435546875
model_warstwy_10_iteracja_3,10,39,relu,adam,0.001,32,100,0.1,577.273681640625,18.272127151489258,16.808992385864258
model_warstwy_10_iteracja_4,10,39,relu,adam,0.001,32,100,0.1,572.6638793945312,18.312606811523438,16.610342025756836
model_warstwy_10_iteracja_5,10,39,relu,adam,0.001,32,100,0.1,575.904296875,18.3353328704834,16.398488998413086
model_aktywacje_relu_iteracja_1,4,39,relu,adam,0.001,32,100,0.1,649.8422241210938,19.729982376098633,17.88121795654297
model_aktywacje_relu_iteracja_2,4,39,relu,adam,0.001,32,100,0.1,640.7020874023438,19.265926361083984,17.34221649169922
model_aktywacje_relu_iteracja_3,4,39,relu,adam,0.001,32,100,0.1,620.0664672851562,19.30763816833496,18.004697799682617
model_aktywacje_relu_iteracja_4,4,39,relu,adam,0.001,32,100,0.1,747.445068359375,21.032241821289062,19.950603485107422
model_aktywacje_relu_iteracja_5,4,39,relu,adam,0.001,32,100,0.1,645.2454223632812,19.42319679260254,17.93575668334961
model_aktywacje_leaky_relu_iteracja_1,4,39,leaky_relu,adam,0.001,32,100,0.1,823.7548828125,22.164295196533203,21.148391723632812
model_aktywacje_leaky_relu_iteracja_2,4,39,leaky_relu,adam,0.001,32,100,0.1,768.578125,21.567289352416992,20.906593322753906
model_aktywacje_leaky_relu_iteracja_3,4,39,leaky_relu,adam,0.001,32,100,0.1,862.1939086914062,22.633708953857422,22.240020751953125
model_aktywacje_leaky_relu_iteracja_4,4,39,leaky_relu,adam,0.001,32,100,0.1,797.6558227539062,21.726015090942383,21.325490951538086
model_aktywacje_leaky_relu_iteracja_5,4,39,leaky_relu,adam,0.001,32,100,0.1,810.9849243164062,21.786832809448242,19.866132736206055
model_aktywacje_swish_iteracja_1,4,39,swish,adam,0.001,32,100,0.1,741.8423461914062,20.749958038330078,19.181894302368164
model_aktywacje_swish_iteracja_2,4,39,swish,adam,0.001,32,100,0.1,693.5091552734375,20.20857810974121,19.04804039001465
model_aktywacje_swish_iteracja_3,4,39,swish,adam,0.001,32,100,0.1,745.2880249023438,20.867919921875,19.358627319335938
model_aktywacje_swish_iteracja_4,4,39,swish,adam,0.001,32,100,0.1,638.1826782226562,19.67314910888672,18.49582862854004
model_aktywacje_swish_iteracja_5,4,39,swish,adam,0.001,32,100,0.1,697.9021606445312,20.419666290283203,18.537986755371094
model_aktywacje_tanh_iteracja_1,4,39,tanh,adam,0.001,32,100,0.1,577.4749145507812,18.546981811523438,17.166200637817383
model_aktywacje_tanh_iteracja_2,4,39,tanh,adam,0.001,32,100,0.1,571.2748413085938,18.560382843017578,17.648630142211914
model_aktywacje_tanh_iteracja_3,4,39,tanh,adam,0.001,32,100,0.1,542.8362426757812,18.137859344482422,16.755605697631836
model_aktywacje_tanh_iteracja_4,4,39,tanh,adam,0.001,32,100,0.1,543.0438232421875,17.9126033782959,16.767873764038086
model_aktywacje_tanh_iteracja_5,4,39,tanh,adam,0.001,32,100,0.1,570.63916015625,18.073354721069336,16.65764808654785
model_warstwy_1_iteracja_1,1,39,relu,adam,0.001,32,100,0.1,18276.72265625,125.10722351074219,98.93898010253906
model_warstwy_1_iteracja_2,1,39,relu,adam,0.001,32,100,0.1,18118.6796875,124.29766845703125,98.93311309814453
model_warstwy_1_iteracja_3,1,39,relu,adam,0.001,32,100,0.1,17871.919921875,123.093505859375,98.8971939086914
model_warstwy_1_iteracja_4,1,39,relu,adam,0.001,32,100,0.1,18142.255859375,124.32670593261719,98.9200210571289
model_warstwy_1_iteracja_5,1,39,relu,adam,0.001,32,100,0.1,18225.53515625,124.50091552734375,98.91363525390625
model_warstwy_2_iteracja_1,2,39,relu,adam,0.001,32,100,0.1,17908.3828125,123.49702453613281,98.90621185302734
model_warstwy_2_iteracja_2,2,39,relu,adam,0.001,32,100,0.1,17941.052734375,123.45404815673828,98.90241241455078
model_warstwy_2_iteracja_3,2,39,relu,adam,0.001,32,100,0.1,17976.158203125,123.78555297851562,98.91487121582031
model_warstwy_3_iteracja_1,3,39,relu,adam,0.001,32,100,0.1,798.0270385742188,21.891632080078125,21.4368896484375
model_warstwy_3_iteracja_2,3,39,relu,adam,0.001,32,100,0.1,732.93359375,21.24471664428711,20.456100463867188
model_warstwy_3_iteracja_3,3,39,relu,adam,0.001,32,100,0.1,762.8305053710938,21.288311004638672,20.771488189697266
model_warstwy_3_iteracja_4,3,39,relu,adam,0.001,32,100,0.1,789.49267578125,21.790508270263672,21.029390335083008
model_warstwy_3_iteracja_5,3,39,relu,adam,0.001,32,100,0.1,783.3930053710938,21.53451919555664,20.357492446899414
model_warstwy_4_iteracja_1,4,39,relu,adam,0.001,32,100,0.1,621.832275390625,18.969881057739258,17.328800201416016
model_warstwy_4_iteracja_2,4,39,relu,adam,0.001,32,100,0.1,772.7223510742188,21.431163787841797,19.91865348815918
model_warstwy_4_iteracja_3,4,39,relu,adam,0.001,32,100,0.1,689.7916259765625,20.13318634033203,18.6623592376709
model_warstwy_4_iteracja_4,4,39,relu,adam,0.001,32,100,0.1,573.9178466796875,18.466854095458984,16.709531784057617
model_warstwy_4_iteracja_5,4,39,relu,adam,0.001,32,100,0.1,649.234375,19.697895050048828,18.553693771362305
model_warstwy_10_iteracja_1,10,39,relu,adam,0.001,32,100,0.1,576.00244140625,18.487520217895508,16.57701301574707
model_warstwy_10_iteracja_2,10,39,relu,adam,0.001,32,100,0.1,520.387939453125,17.49781036376953,15.951531410217285
model_warstwy_10_iteracja_3,10,39,relu,adam,0.001,32,100,0.1,581.3894653320312,18.422468185424805,16.89361572265625
model_warstwy_10_iteracja_4,10,39,relu,adam,0.001,32,100,0.1,552.6439819335938,18.017335891723633,16.964162826538086
model_warstwy_10_iteracja_5,10,39,relu,adam,0.001,32,100,0.1,608.3349609375,18.876827239990234,17.204320907592773
model_neurony_100_iteracja_1,10,100,tanh,adam,0.01,16,100,0.1,2202.408203125,36.2225341796875,50.599674224853516
model_neurony_100_iteracja_2,10,100,tanh,adam,0.01,16,100,0.1,10636.611328125,85.11106872558594,80.61866760253906
model_neurony_100_iteracja_3,10,100,tanh,adam,0.01,16,100,0.1,2138.349609375,35.7389030456543,54.36451721191406
model_neurony_100_iteracja_1,4,100,tanh,adam,0.001,32,100,0.1,597.2932739257812,18.838802337646484,17.748653411865234
model_neurony_100_iteracja_2,4,100,tanh,adam,0.001,32,100,0.1,794.9500732421875,19.396385192871094,17.627887725830078
model_neurony_100_iteracja_3,4,100,tanh,adam,0.001,32,100,0.1,744.2604370117188,19.674148559570312,17.98793601989746
model_neurony_100_iteracja_4,4,100,tanh,adam,0.001,32,100,0.1,587.5016479492188,18.44875717163086,17.208589553833008
model_neurony_100_iteracja_5,4,100,tanh,adam,0.001,32,100,0.1,931.1597290039062,19.81045150756836,17.88605499267578
model_neurony_120_iteracja_1,4,120,tanh,adam,0.001,32,100,0.1,808.282958984375,19.555437088012695,18.024280548095703
model_neurony_120_iteracja_2,4,120,tanh,adam,0.001,32,100,0.1,569.7568969726562,18.34418487548828,17.22937774658203
